event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Revenue Before,Revenue After,IR,IR%,ISU,ISU%
23421e,STBLR-2,CAMP_SAN_01,P12,62,50% OFF,54,77,3348,2387,-961,-29%,23,43%
3c3c49,STCBE-2,CAMP_SAN_01,P08,1190,BOGOF,40,168,47600,199920,152320,320%,296,740%
680acd,STHYD-3,CAMP_SAN_01,P11,190,50% OFF,46,73,8740,6935,-1805,-21%,27,59%
fe2fe7,STCHE-4,CAMP_DIW_01,P05,55,25% OFF,127,115,6985,4743.75,-2241.25,-32%,-12,-9%
e2abd2,STCHE-3,CAMP_DIW_01,P09,110,50% OFF,73,92,8030,5060,-2970,-37%,19,26%
7c51b1,STCBE-0,CAMP_DIW_01,P09,110,50% OFF,59,89,6490,4895,-1595,-25%,30,51%
494f1b,STVSK-2,CAMP_SAN_01,P13,350,BOGOF,94,374,32900,130900,98000,298%,654,696%
144c17,STCHE-2,CAMP_DIW_01,P02,860,33% OFF,411,509,353460,293285.8,-60174.2,-17%,98,24%
28acbc,STBLR-2,CAMP_DIW_01,P10,65,50% OFF,105,132,6825,4290,-2535,-37%,27,26%
00af86,STCBE-0,CAMP_SAN_01,P06,415,25% OFF,15,14,6225,4357.5,-1867.5,-30%,-1,-7%
6321fa,STCHE-3,CAMP_SAN_01,P10,50,25% OFF,31,26,1550,975,-575,-37%,-5,-16%
6a7668,STCHE-4,CAMP_SAN_01,P15,3000,500 Cashback,112,321,336000,802500,466500,139%,209,187%
c7fefa,STMDU-1,CAMP_SAN_01,P11,190,50% OFF,28,40,5320,3800,-1520,-29%,12,43%
c5f80e,STCHE-1,CAMP_DIW_01,P14,1020,BOGOF,43,125,43860,127500,83640,191%,207,481%
86755e,STCHE-4,CAMP_SAN_01,P07,300,BOGOF,45,191,13500,57300,43800,324%,337,749%
3.56E+10,STMDU-3,CAMP_SAN_01,P08,1190,BOGOF,36,145,42840,172550,129710,303%,254,706%
a26b45,STBLR-3,CAMP_DIW_01,P01,172,33% OFF,287,413,49364,47594.12,-1769.88,-4%,126,44%
fe7b5d,STHYD-2,CAMP_SAN_01,P03,200,BOGOF,472,1902,94400,380400,286000,303%,3332,706%
8d68bc,STHYD-2,CAMP_DIW_01,P03,156,25% OFF,357,289,55692,33813,-21879,-39%,-68,-19%
9bc176,STHYD-3,CAMP_SAN_01,P04,370,BOGOF,416,1085,153920,401450,247530,161%,1754,422%
17df71,STHYD-0,CAMP_SAN_01,P08,1190,BOGOF,46,179,54740,213010,158270,289%,312,678%
342d35,STCBE-3,CAMP_DIW_01,P08,1190,BOGOF,29,96,34510,114240,79730,231%,163,562%
d8f51c,STMYS-1,CAMP_DIW_01,P15,3000,500 Cashback,449,1499,1347000,3747500,2400500,178%,1050,234%
cd36b2,STCHE-4,CAMP_DIW_01,P10,65,50% OFF,127,168,8255,5460,-2795,-34%,41,32%
780aaa,STMYS-1,CAMP_SAN_01,P06,415,25% OFF,19,14,7885,4357.5,-3527.5,-45%,-5,-26%
decd5e,STMDU-2,CAMP_SAN_01,P10,50,25% OFF,21,17,1050,637.5,-412.5,-39%,-4,-19%
d88318,STCHE-5,CAMP_DIW_01,P08,1190,BOGOF,45,149,53550,177310,123760,231%,253,562%
bf2632,STCHE-1,CAMP_SAN_01,P12,62,50% OFF,57,66,3534,2046,-1488,-42%,9,16%
902903,STVSK-2,CAMP_DIW_01,P13,350,BOGOF,49,164,17150,57400,40250,235%,279,569%
8481be,STCHE-1,CAMP_DIW_01,P04,290,25% OFF,327,287,94830,62422.5,-32407.5,-34%,-40,-12%
333ef0,STHYD-0,CAMP_DIW_01,P14,1020,BOGOF,47,163,47940,166260,118320,247%,279,594%
5dd3d3,STVJD-0,CAMP_DIW_01,P09,110,50% OFF,40,54,4400,2970,-1430,-33%,14,35%
98cc83,STVSK-0,CAMP_DIW_01,P10,65,50% OFF,84,127,5460,4127.5,-1332.5,-24%,43,51%
5a6ad7,STBLR-9,CAMP_DIW_01,P14,1020,BOGOF,45,153,45900,156060,110160,240%,261,580%
b0cc1e,STBLR-9,CAMP_SAN_01,P02,860,33% OFF,610,847,524600,488041.4,-36558.6,-7%,237,39%
21b73e,STTRV-0,CAMP_DIW_01,P05,55,25% OFF,61,59,3355,2433.75,-921.25,-27%,-2,-3%
c3c9e3,STVSK-1,CAMP_DIW_01,P15,3000,500 Cashback,301,869,903000,2172500,1269500,141%,568,189%
b76f57,STBLR-8,CAMP_DIW_01,P13,350,BOGOF,66,220,23100,77000,53900,233%,374,567%
95792f,STMDU-2,CAMP_SAN_01,P15,3000,500 Cashback,106,243,318000,607500,289500,91%,137,129%
53b2fd,STHYD-6,CAMP_DIW_01,P01,172,33% OFF,320,467,55040,53817.08,-1222.92,-2%,147,46%
6a54d2,STCHE-5,CAMP_SAN_01,P01,172,33% OFF,303,360,52116,41486.4,-10629.6,-20%,57,19%
cb7ddd,STVJD-1,CAMP_DIW_01,P09,110,50% OFF,49,65,5390,3575,-1815,-34%,16,33%
f57184,STHYD-5,CAMP_SAN_01,P05,55,25% OFF,21,18,1155,742.5,-412.5,-36%,-3,-14%
4f76ac,STMYS-3,CAMP_DIW_01,P04,290,25% OFF,383,344,111070,74820,-36250,-33%,-39,-10%
3b086a,STBLR-4,CAMP_SAN_01,P06,415,25% OFF,36,29,14940,9026.25,-5913.75,-40%,-7,-19%
0cc836,STVSK-0,CAMP_SAN_01,P05,55,25% OFF,18,14,990,577.5,-412.5,-42%,-4,-22%
aacd2a,STMYS-3,CAMP_SAN_01,P10,50,25% OFF,25,21,1250,787.5,-462.5,-37%,-4,-16%
3968a6,STMYS-3,CAMP_SAN_01,P05,55,25% OFF,19,16,1045,660,-385,-37%,-3,-16%
fc2170,STCBE-3,CAMP_SAN_01,P08,1190,BOGOF,40,158,47600,188020,140420,295%,276,690%
368ca0,STBLR-4,CAMP_SAN_01,P04,370,BOGOF,432,1736,159840,642320,482480,302%,3040,704%
729701,STVSK-2,CAMP_SAN_01,P06,415,25% OFF,22,18,9130,5602.5,-3527.5,-39%,-4,-18%
6d863b,STCBE-1,CAMP_SAN_01,P07,300,BOGOF,40,155,12000,46500,34500,288%,270,675%
1d651c,STCHE-5,CAMP_SAN_01,P15,3000,500 Cashback,121,273,363000,682500,319500,88%,152,126%
a7aa70,STMDU-2,CAMP_SAN_01,P11,190,50% OFF,25,28,4750,2660,-2090,-44%,3,12%
06c981,STHYD-2,CAMP_DIW_01,P14,1020,BOGOF,42,139,42840,141780,98940,231%,236,562%
626cb9,STMLR-0,CAMP_DIW_01,P09,110,50% OFF,36,48,3960,2640,-1320,-33%,12,33%
6c1493,STVJD-1,CAMP_SAN_01,P15,3000,500 Cashback,66,144,198000,360000,162000,82%,78,118%
c22ead,STBLR-6,CAMP_SAN_01,P11,190,50% OFF,43,66,8170,6270,-1900,-23%,23,53%
a35a4f,STCHE-6,CAMP_DIW_01,P10,65,50% OFF,122,153,7930,4972.5,-2957.5,-37%,31,25%
4f7c26,STCBE-4,CAMP_DIW_01,P15,3000,500 Cashback,316,818,948000,2045000,1097000,116%,502,159%
c4dae9,STHYD-0,CAMP_DIW_01,P08,1190,BOGOF,52,180,61880,214200,152320,246%,308,592%
f199be,STBLR-6,CAMP_DIW_01,P06,415,25% OFF,87,78,36105,24277.5,-11827.5,-33%,-9,-10%
c1debe,STCHE-3,CAMP_DIW_01,P15,3000,500 Cashback,381,1303,1143000,3257500,2114500,185%,922,242%
d61f6f,STHYD-3,CAMP_SAN_01,P03,200,BOGOF,331,903,66200,180600,114400,173%,1475,446%
459bc3,STBLR-8,CAMP_SAN_01,P13,350,BOGOF,97,378,33950,132300,98350,290%,659,679%
ed90b8,STVSK-4,CAMP_SAN_01,P05,55,25% OFF,18,13,990,536.25,-453.75,-46%,-5,-28%
8fecef,STCHE-1,CAMP_DIW_01,P07,300,BOGOF,75,217,22500,65100,42600,189%,359,479%
dc2bb1,STMYS-3,CAMP_SAN_01,P02,860,33% OFF,400,476,344000,274271.2,-69728.8,-20%,76,19%
13a676,STCBE-4,CAMP_DIW_01,P01,172,33% OFF,203,296,34916,34111.04,-804.96,-2%,93,46%
42fb76,STHYD-5,CAMP_DIW_01,P10,65,50% OFF,112,151,7280,4907.5,-2372.5,-33%,39,35%
f741af,STHYD-2,CAMP_SAN_01,P01,172,33% OFF,333,456,57276,52549.44,-4726.56,-8%,123,37%
5c6465,STHYD-5,CAMP_SAN_01,P08,1190,BOGOF,36,139,42840,165410,122570,286%,242,672%
2ba228,STCHE-5,CAMP_DIW_01,P02,860,33% OFF,316,388,271760,223565.6,-48194.4,-18%,72,23%
21ac82,STHYD-2,CAMP_SAN_01,P06,415,25% OFF,46,34,19090,10582.5,-8507.5,-45%,-12,-26%
8e97d1,STBLR-7,CAMP_SAN_01,P09,90,25% OFF,72,58,6480,3915,-2565,-40%,-14,-19%
335090,STMYS-0,CAMP_DIW_01,P15,3000,500 Cashback,262,673,786000,1682500,896500,114%,411,157%
fc8d10,STMLR-0,CAMP_SAN_01,P08,1190,BOGOF,27,70,32130,83300,51170,159%,113,419%
9a425b,STCBE-0,CAMP_DIW_01,P03,156,25% OFF,276,267,43056,31239,-11817,-27%,-9,-3%
4f570c,STBLR-7,CAMP_DIW_01,P05,55,25% OFF,122,107,6710,4413.75,-2296.25,-34%,-15,-12%
d1138a,STTRV-1,CAMP_DIW_01,P12,62,50% OFF,63,84,3906,2604,-1302,-33%,21,33%
b6dd84,STVJD-1,CAMP_SAN_01,P01,172,33% OFF,166,225,28552,25929,-2623,-9%,59,36%
151c7d,STMLR-1,CAMP_DIW_01,P06,415,25% OFF,49,42,20335,13072.5,-7262.5,-36%,-7,-14%
240703,STHYD-5,CAMP_SAN_01,P02,860,33% OFF,471,659,405060,379715.8,-25344.2,-6%,188,40%
8d5095,STCBE-2,CAMP_DIW_01,P15,3000,500 Cashback,234,840,702000,2100000,1398000,199%,606,259%
efd0d2,STMYS-2,CAMP_DIW_01,P15,3000,500 Cashback,486,1273,1458000,3182500,1724500,118%,787,162%
8ef678,STMYS-3,CAMP_DIW_01,P01,172,33% OFF,311,398,53492,45865.52,-7626.48,-14%,87,28%
4ca177,STVSK-4,CAMP_SAN_01,P14,1020,BOGOF,75,198,76500,201960,125460,164%,321,428%
fc3f51,STBLR-6,CAMP_SAN_01,P07,300,BOGOF,40,165,12000,49500,37500,313%,290,725%
f3d93f,STHYD-4,CAMP_DIW_01,P09,110,50% OFF,73,95,8030,5225,-2805,-35%,22,30%
792708,STBLR-5,CAMP_SAN_01,P13,350,BOGOF,115,445,40250,155750,115500,287%,775,674%
4692bf,STMLR-0,CAMP_SAN_01,P04,370,BOGOF,267,731,98790,270470,171680,174%,1195,448%
deb3a5,STHYD-2,CAMP_SAN_01,P12,62,50% OFF,52,72,3224,2232,-992,-31%,20,38%
a0dc46,STHYD-3,CAMP_DIW_01,P05,55,25% OFF,129,104,7095,4290,-2805,-40%,-25,-19%
bb447f,STCBE-3,CAMP_SAN_01,P12,62,50% OFF,36,55,2232,1705,-527,-24%,19,53%
fa1dd3,STCHE-3,CAMP_SAN_01,P15,3000,500 Cashback,127,367,381000,917500,536500,141%,240,189%
837127,STVJD-0,CAMP_DIW_01,P03,156,25% OFF,208,197,32448,23049,-9399,-29%,-11,-5%
6aae63,STMYS-2,CAMP_DIW_01,P13,350,BOGOF,63,189,22050,66150,44100,200%,315,500%
a24528,STVSK-2,CAMP_DIW_01,P05,55,25% OFF,70,62,3850,2557.5,-1292.5,-34%,-8,-11%
4ff977,STVSK-4,CAMP_DIW_01,P15,3000,500 Cashback,292,750,876000,1875000,999000,114%,458,157%
3.42E+08,STMDU-3,CAMP_SAN_01,P11,190,50% OFF,34,38,6460,3610,-2850,-44%,4,12%
f8b215,STBLR-4,CAMP_DIW_01,P14,1020,BOGOF,40,138,40800,140760,99960,245%,236,590%
f6c17f,STBLR-0,CAMP_SAN_01,P09,90,25% OFF,54,45,4860,3037.5,-1822.5,-38%,-9,-17%
67f756,STHYD-5,CAMP_SAN_01,P13,350,BOGOF,111,441,38850,154350,115500,297%,771,695%
d6cc80,STCHE-4,CAMP_DIW_01,P07,300,BOGOF,61,236,18300,70800,52500,287%,411,674%
9d9a6c,STCBE-1,CAMP_SAN_01,P15,3000,500 Cashback,82,190,246000,475000,229000,93%,108,132%
7ae5f8,STCHE-7,CAMP_DIW_01,P11,190,50% OFF,87,114,16530,10830,-5700,-34%,27,31%
fedf26,STMLR-2,CAMP_SAN_01,P10,50,25% OFF,19,15,950,562.5,-387.5,-41%,-4,-21%
bfdede,STMYS-2,CAMP_SAN_01,P11,190,50% OFF,61,86,11590,8170,-3420,-30%,25,41%
e2f806,STMDU-1,CAMP_DIW_01,P14,1020,BOGOF,36,126,36720,128520,91800,250%,216,600%
2706c5,STMYS-2,CAMP_DIW_01,P12,62,50% OFF,77,97,4774,3007,-1767,-37%,20,26%
79f662,STVSK-1,CAMP_SAN_01,P09,90,25% OFF,40,28,3600,1890,-1710,-48%,-12,-30%
3133f3,STCHE-5,CAMP_SAN_01,P09,90,25% OFF,63,53,5670,3577.5,-2092.5,-37%,-10,-16%
fd4e7e,STCBE-4,CAMP_SAN_01,P03,200,BOGOF,336,913,67200,182600,115400,172%,1490,443%
77c6d5,STCHE-1,CAMP_DIW_01,P09,110,50% OFF,59,67,6490,3685,-2805,-43%,8,14%
0d23fe,STVSK-4,CAMP_DIW_01,P09,110,50% OFF,63,86,6930,4730,-2200,-32%,23,37%
221da2,STCBE-3,CAMP_SAN_01,P15,3000,500 Cashback,91,211,273000,527500,254500,93%,120,132%
b1a501,STBLR-0,CAMP_DIW_01,P11,190,50% OFF,80,108,15200,10260,-4940,-33%,28,35%
4e42b9,STHYD-4,CAMP_SAN_01,P03,200,BOGOF,376,1447,75200,289400,214200,285%,2518,670%
1e5ae7,STCHE-7,CAMP_SAN_01,P09,90,25% OFF,54,51,4860,3442.5,-1417.5,-29%,-3,-6%
078a6a,STMDU-0,CAMP_SAN_01,P09,90,25% OFF,57,47,5130,3172.5,-1957.5,-38%,-10,-18%
8dca75,STBLR-5,CAMP_DIW_01,P13,350,BOGOF,71,248,24850,86800,61950,249%,425,599%
4eb35e,STCHE-6,CAMP_SAN_01,P04,370,BOGOF,483,1907,178710,705590,526880,295%,3331,690%
73ad85,STHYD-5,CAMP_DIW_01,P05,55,25% OFF,106,102,5830,4207.5,-1622.5,-28%,-4,-4%
b98ea0,STCHE-3,CAMP_SAN_01,P11,190,50% OFF,48,69,9120,6555,-2565,-28%,21,44%
4406de,STVSK-1,CAMP_SAN_01,P11,190,50% OFF,28,40,5320,3800,-1520,-29%,12,43%
e98f37,STBLR-3,CAMP_DIW_01,P08,1190,BOGOF,43,145,51170,172550,121380,237%,247,574%
311946,STBLR-5,CAMP_DIW_01,P05,55,25% OFF,119,107,6545,4413.75,-2131.25,-33%,-12,-10%
598637,STCHE-7,CAMP_DIW_01,P09,110,50% OFF,71,90,7810,4950,-2860,-37%,19,27%
a2fd0b,STBLR-6,CAMP_DIW_01,P12,62,50% OFF,112,165,6944,5115,-1829,-26%,53,47%
53089f,STTRV-0,CAMP_DIW_01,P07,300,BOGOF,26,87,7800,26100,18300,235%,148,569%
82ff02,STMDU-0,CAMP_SAN_01,P10,50,25% OFF,22,18,1100,675,-425,-39%,-4,-18%
20618e,STCHE-3,CAMP_SAN_01,P04,370,BOGOF,379,1622,140230,600140,459910,328%,2865,756%
1b6084,STMLR-1,CAMP_DIW_01,P01,172,33% OFF,141,217,24252,25007.08,755.08,3%,76,54%
4cd59b,STVSK-0,CAMP_SAN_01,P09,90,25% OFF,42,35,3780,2362.5,-1417.5,-38%,-7,-17%
716a3b,STCHE-5,CAMP_SAN_01,P14,1020,BOGOF,130,514,132600,524280,391680,295%,898,691%
c32fcd,STHYD-3,CAMP_SAN_01,P08,1190,BOGOF,73,192,86870,228480,141610,163%,311,426%
f517b1,STVSK-4,CAMP_SAN_01,P07,300,BOGOF,33,83,9900,24900,15000,152%,133,403%
f2d468,STTRV-0,CAMP_SAN_01,P03,200,BOGOF,190,741,38000,148200,110200,290%,1292,680%
371e1a,STBLR-5,CAMP_DIW_01,P01,172,33% OFF,322,483,55384,55660.92,276.92,0%,161,50%
9bd616,STCHE-0,CAMP_DIW_01,P01,172,33% OFF,330,504,56760,58080.96,1320.96,2%,174,53%
1c9eaa,STBLR-6,CAMP_DIW_01,P02,860,33% OFF,367,612,315620,352634.4,37014.4,12%,245,67%
1b0022,STVSK-0,CAMP_SAN_01,P04,370,BOGOF,370,1457,136900,539090,402190,294%,2544,688%
ad2ad4,STMDU-3,CAMP_DIW_01,P04,290,25% OFF,197,175,57130,38062.5,-19067.5,-33%,-22,-11%
fad26a,STCHE-3,CAMP_DIW_01,P01,172,33% OFF,369,546,63468,62921.04,-546.96,-1%,177,48%
26a18a,STVSK-3,CAMP_SAN_01,P15,3000,500 Cashback,109,192,327000,480000,153000,47%,83,76%
d3d574,STMLR-2,CAMP_SAN_01,P08,1190,BOGOF,16,63,19040,74970,55930,294%,110,688%
0edad5,STTRV-1,CAMP_SAN_01,P13,350,BOGOF,51,205,17850,71750,53900,302%,359,704%
46ee5a,STCBE-3,CAMP_DIW_01,P04,290,25% OFF,246,214,71340,46545,-24795,-35%,-32,-13%
9d3d1f,STCHE-6,CAMP_SAN_01,P15,3000,500 Cashback,147,320,441000,800000,359000,81%,173,118%
caa1e1,STCHE-5,CAMP_SAN_01,P03,200,BOGOF,432,1736,86400,347200,260800,302%,3040,704%
7d9576,STBLR-7,CAMP_SAN_01,P15,3000,500 Cashback,120,345,360000,862500,502500,140%,225,188%
59f792,STCHE-4,CAMP_DIW_01,P15,3000,500 Cashback,448,1545,1344000,3862500,2518500,187%,1097,245%
86206,STHYD-1,CAMP_SAN_01,P14,1020,BOGOF,102,279,104040,284580,180540,174%,456,447%
457639,STCHE-4,CAMP_SAN_01,P08,1190,BOGOF,54,222,64260,264180,199920,311%,390,722%
5f18fc,STVJD-1,CAMP_SAN_01,P10,50,25% OFF,18,13,900,487.5,-412.5,-46%,-5,-28%
2fe921,STCHE-0,CAMP_SAN_01,P05,55,25% OFF,25,21,1375,866.25,-508.75,-37%,-4,-16%
5760fd,STCBE-1,CAMP_SAN_01,P13,350,BOGOF,87,346,30450,121100,90650,298%,605,695%
715baf,STHYD-3,CAMP_DIW_01,P13,350,BOGOF,82,239,28700,83650,54950,191%,396,483%
d04bc1,STCBE-0,CAMP_SAN_01,P09,90,25% OFF,49,46,4410,3105,-1305,-30%,-3,-6%
269cec,STBLR-6,CAMP_SAN_01,P02,860,33% OFF,532,813,457520,468450.6,10930.6,2%,281,53%
41dc33,STHYD-1,CAMP_SAN_01,P10,50,25% OFF,36,29,1800,1087.5,-712.5,-40%,-7,-19%
420258,STVSK-3,CAMP_SAN_01,P14,1020,BOGOF,54,137,55080,139740,84660,154%,220,407%
005c46,STCBE-2,CAMP_SAN_01,P05,55,25% OFF,18,15,990,618.75,-371.25,-38%,-3,-17%
642b50,STMYS-1,CAMP_DIW_01,P14,1020,BOGOF,36,145,36720,147900,111180,303%,254,706%
93118f,STVSK-0,CAMP_SAN_01,P03,200,BOGOF,261,1041,52200,208200,156000,299%,1821,698%
5e0a8c,STBLR-5,CAMP_SAN_01,P12,62,50% OFF,55,77,3410,2387,-1023,-30%,22,40%
8ba5a1,STBLR-6,CAMP_DIW_01,P09,110,50% OFF,84,131,9240,7205,-2035,-22%,47,56%
eb967c,STMYS-1,CAMP_SAN_01,P15,3000,500 Cashback,133,383,399000,957500,558500,140%,250,188%
726ac4,STBLR-5,CAMP_SAN_01,P04,370,BOGOF,454,1756,167980,649720,481740,287%,3058,674%
f8b6ac,STCHE-4,CAMP_DIW_01,P02,860,33% OFF,400,580,344000,334196,-9804,-3%,180,45%
a83e09,STMDU-3,CAMP_SAN_01,P07,300,BOGOF,22,88,6600,26400,19800,300%,154,700%
417902,STMDU-0,CAMP_DIW_01,P08,1190,BOGOF,29,116,34510,138040,103530,300%,203,700%
3100ef,STBLR-5,CAMP_SAN_01,P09,90,25% OFF,67,56,6030,3780,-2250,-37%,-11,-16%
20da13,STBLR-4,CAMP_SAN_01,P07,300,BOGOF,48,185,14400,55500,41100,285%,322,671%
380a4f,STCHE-1,CAMP_DIW_01,P08,1190,BOGOF,45,137,53550,163030,109480,204%,229,509%
8c13bb,STBLR-5,CAMP_DIW_01,P08,1190,BOGOF,47,159,55930,189210,133280,238%,271,577%
d70dcb,STCBE-4,CAMP_SAN_01,P15,3000,500 Cashback,90,146,270000,365000,95000,35%,56,62%
367337,STCHE-6,CAMP_SAN_01,P09,90,25% OFF,81,60,7290,4050,-3240,-44%,-21,-26%
ff3c54,STCHE-3,CAMP_SAN_01,P05,55,25% OFF,24,19,1320,783.75,-536.25,-41%,-5,-21%
bae5cb,STVSK-3,CAMP_SAN_01,P11,190,50% OFF,34,39,6460,3705,-2755,-43%,5,15%
23ef05,STVSK-0,CAMP_DIW_01,P12,62,50% OFF,78,121,4836,3751,-1085,-22%,43,55%
49057f,STHYD-0,CAMP_SAN_01,P15,3000,500 Cashback,121,274,363000,685000,322000,89%,153,126%
f3de30,STMLR-1,CAMP_SAN_01,P12,62,50% OFF,31,45,1922,1395,-527,-27%,14,45%
ac0b1c,STMYS-3,CAMP_SAN_01,P14,1020,BOGOF,78,331,79560,337620,258060,324%,584,749%
75c3a0,STBLR-0,CAMP_DIW_01,P13,350,BOGOF,73,282,25550,98700,73150,286%,491,673%
5715c0,STVSK-1,CAMP_SAN_01,P12,62,50% OFF,46,66,2852,2046,-806,-28%,20,43%
e5db3d,STCBE-0,CAMP_DIW_01,P08,1190,BOGOF,29,98,34510,116620,82110,238%,167,576%
ef61c6,STHYD-2,CAMP_SAN_01,P07,300,BOGOF,48,188,14400,56400,42000,292%,328,683%
0eb526,STMLR-0,CAMP_DIW_01,P07,300,BOGOF,38,113,11400,33900,22500,197%,188,495%
eb8939,STBLR-9,CAMP_DIW_01,P06,415,25% OFF,91,89,37765,27701.25,-10063.75,-27%,-2,-2%
316cd1,STMYS-2,CAMP_SAN_01,P07,300,BOGOF,45,122,13500,36600,23100,171%,199,442%
5a94d6,STVSK-0,CAMP_DIW_01,P06,415,25% OFF,64,58,26560,18052.5,-8507.5,-32%,-6,-9%
ff8f10,STMDU-0,CAMP_SAN_01,P11,190,50% OFF,34,47,6460,4465,-1995,-31%,13,38%
9ff8d2,STBLR-1,CAMP_DIW_01,P06,415,25% OFF,87,82,36105,25522.5,-10582.5,-29%,-5,-6%
0c0926,STMDU-3,CAMP_DIW_01,P08,1190,BOGOF,26,91,30940,108290,77350,250%,156,600%
252235,STHYD-4,CAMP_DIW_01,P07,300,BOGOF,64,223,19200,66900,47700,248%,382,597%
41d6bd,STCHE-1,CAMP_SAN_01,P03,200,BOGOF,424,1127,84800,225400,140600,166%,1830,432%
73c8f5,STVSK-3,CAMP_DIW_01,P01,172,33% OFF,229,293,39388,33765.32,-5622.68,-14%,64,28%
1f0eaf,STBLR-6,CAMP_SAN_01,P15,3000,500 Cashback,147,385,441000,962500,521500,118%,238,162%
bb62b3,STHYD-6,CAMP_SAN_01,P03,200,BOGOF,378,1459,75600,291800,216200,286%,2540,672%
6c43b6,STMLR-1,CAMP_DIW_01,P07,300,BOGOF,29,97,8700,29100,20400,234%,165,569%
86ec8d,STMDU-3,CAMP_SAN_01,P04,370,BOGOF,303,1172,112110,433640,321530,287%,2041,674%
35463c,STCBE-0,CAMP_DIW_01,P04,290,25% OFF,211,202,61190,43935,-17255,-28%,-9,-4%
95f061,STMYS-3,CAMP_SAN_01,P15,3000,500 Cashback,160,443,480000,1107500,627500,131%,283,177%
693b77,STMLR-0,CAMP_DIW_01,P12,62,50% OFF,70,88,4340,2728,-1612,-37%,18,26%
4ca50a,STHYD-3,CAMP_DIW_01,P08,1190,BOGOF,50,156,59500,185640,126140,212%,262,524%
01b425,STMYS-3,CAMP_DIW_01,P09,110,50% OFF,68,76,7480,4180,-3300,-44%,8,12%
d3d442,STBLR-5,CAMP_SAN_01,P15,3000,500 Cashback,166,396,498000,990000,492000,99%,230,139%
b17f27,STCBE-0,CAMP_DIW_01,P06,415,25% OFF,59,56,24485,17430,-7055,-29%,-3,-5%
be6ab1,STCHE-4,CAMP_SAN_01,P09,90,25% OFF,73,60,6570,4050,-2520,-38%,-13,-18%
cf0ccd,STVSK-1,CAMP_DIW_01,P08,1190,BOGOF,35,117,41650,139230,97580,234%,199,569%
d7798b,STMYS-2,CAMP_SAN_01,P02,860,33% OFF,484,677,416240,390087.4,-26152.6,-6%,193,40%
e93b62,STCHE-2,CAMP_SAN_01,P04,370,BOGOF,513,2067,189810,764790,574980,303%,3621,706%
65f085,STCHE-4,CAMP_SAN_01,P12,62,50% OFF,60,87,3720,2697,-1023,-28%,27,45%
39d354,STMYS-0,CAMP_DIW_01,P06,415,25% OFF,57,49,23655,15251.25,-8403.75,-36%,-8,-14%
90f2d8,STMDU-2,CAMP_DIW_01,P10,65,50% OFF,61,71,3965,2307.5,-1657.5,-42%,10,16%
d04c7f,STBLR-9,CAMP_SAN_01,P07,300,BOGOF,40,159,12000,47700,35700,298%,278,695%
7b51be,STCHE-5,CAMP_SAN_01,P04,370,BOGOF,403,1587,149110,587190,438080,294%,2771,688%
68c31e,STBLR-7,CAMP_SAN_01,P08,1190,BOGOF,54,235,64260,279650,215390,335%,416,770%
b6233e,STMLR-2,CAMP_DIW_01,P01,172,33% OFF,175,222,30100,25583.28,-4516.72,-15%,47,27%
4b411a,STVJD-0,CAMP_DIW_01,P15,3000,500 Cashback,218,673,654000,1682500,1028500,157%,455,209%
dd9914,STVSK-1,CAMP_DIW_01,P10,65,50% OFF,98,132,6370,4290,-2080,-33%,34,35%
874377,STHYD-3,CAMP_DIW_01,P02,860,33% OFF,365,616,313900,354939.2,41039.2,13%,251,69%
7.83E+87,STMDU-3,CAMP_DIW_01,P14,1020,BOGOF,31,108,31620,110160,78540,248%,185,597%
6a1564,STMDU-3,CAMP_DIW_01,P15,3000,500 Cashback,334,1022,1002000,2555000,1553000,155%,688,206%
ac0b82,STMYS-0,CAMP_DIW_01,P04,290,25% OFF,234,205,67860,44587.5,-23272.5,-34%,-29,-12%
19d7b5,STMYS-1,CAMP_SAN_01,P03,200,BOGOF,382,1596,76400,319200,242800,318%,2810,736%
9d7bd2,STCHE-5,CAMP_DIW_01,P03,156,25% OFF,413,375,64428,43875,-20553,-32%,-38,-9%
17edbc,STMYS-1,CAMP_DIW_01,P03,156,25% OFF,281,230,43836,26910,-16926,-39%,-51,-18%
38bf1b,STCHE-1,CAMP_SAN_01,P05,55,25% OFF,30,25,1650,1031.25,-618.75,-38%,-5,-17%
4cc388,STBLR-7,CAMP_SAN_01,P02,860,33% OFF,526,799,452360,460383.8,8023.8,2%,273,52%
c115da,STCHE-2,CAMP_DIW_01,P13,350,BOGOF,84,293,29400,102550,73150,249%,502,598%
1271,STCBE-2,CAMP_SAN_01,P13,350,BOGOF,121,500,42350,175000,132650,313%,879,726%
3bf731,STVSK-3,CAMP_SAN_01,P04,370,BOGOF,265,673,98050,249010,150960,154%,1081,408%
07e4ea,STHYD-6,CAMP_SAN_01,P04,370,BOGOF,486,1890,179820,699300,519480,289%,3294,678%
a1ef43,STTRV-1,CAMP_SAN_01,P12,62,50% OFF,27,38,1674,1178,-496,-30%,11,41%
1cfaa8,STBLR-2,CAMP_SAN_01,P08,1190,BOGOF,43,166,51170,197540,146370,286%,289,672%
2eb400,STBLR-5,CAMP_SAN_01,P07,300,BOGOF,52,207,15600,62100,46500,298%,362,696%
cd3392,STCHE-6,CAMP_SAN_01,P07,300,BOGOF,31,123,9300,36900,27600,297%,215,694%
