event_id,store_id,campaign_id,product_code,Category,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Revenue Before,Revenue After,IR,IR%,ISU,ISU%
348fe6,STBLR-8,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,332,471,"? 57,104","? 54,278","-? 2,826",-5%,139,42%
17d5c1,STCBE-0,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,52,173,"? 18,200","? 60,550","? 42,350",233%,294,565%
8f5618,STBLR-1,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,302,289,"? 87,580","? 62,858","-? 24,723",-28%,-13,-4%
6bfa15,STCBE-2,CAMP_SAN_01,P06,Home Care,415,25% OFF,16,13,"? 6,640","? 4,046","-? 2,594",-39%,-3,-19%
aac58d,STBLR-6,CAMP_DIW_01,P08,Home Care,1190,BOGOF,52,204,"? 61,880","? 2,42,760","? 1,80,880",292%,356,685%
ed0d01,STBLR-2,CAMP_DIW_01,P12,Personal Care,62,50% OFF,108,145,"? 6,696","? 4,495","-? 2,201",-33%,37,34%
0eb41f,STVSK-2,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,232,364,"? 39,904","? 41,947","? 2,043",5%,132,57%
9b8658,STHYD-5,CAMP_DIW_01,P11,Personal Care,190,50% OFF,73,97,"? 13,870","? 9,215","-? 4,655",-34%,24,33%
3bc352,STHYD-3,CAMP_DIW_01,P07,Home Care,300,BOGOF,54,170,"? 16,200","? 51,000","? 34,800",215%,286,530%
40f110,STBLR-9,CAMP_DIW_01,P12,Personal Care,62,50% OFF,122,163,"? 7,564","? 5,053","-? 2,511",-33%,41,34%
55fed8,STCBE-3,CAMP_DIW_01,P09,Personal Care,110,50% OFF,40,60,"? 4,400","? 3,300","-? 1,100",-25%,20,50%
c1cdb5,STCHE-0,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,135,286,"? 4,05,000","? 7,15,000","? 3,10,000",77%,151,112%
c134bb,STBLR-8,CAMP_SAN_01,P07,Home Care,300,BOGOF,51,205,"? 15,300","? 61,500","? 46,200",302%,359,704%
2361c6,STBLR-0,CAMP_DIW_01,P06,Home Care,415,25% OFF,94,83,"? 39,010","? 25,834","-? 13,176",-34%,-11,-12%
b44f0e,STHYD-2,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,136,288,"? 4,08,000","? 7,20,000","? 3,12,000",76%,152,112%
607c9d,STCHE-2,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,556,711,"? 4,78,160","? 4,09,678","-? 68,482",-14%,155,28%
5ea63d,STCBE-3,CAMP_DIW_01,P12,Personal Care,62,50% OFF,82,126,"? 5,084","? 3,906","-? 1,178",-23%,44,54%
323aee,STVSK-0,CAMP_DIW_01,P07,Home Care,300,BOGOF,36,119,"? 10,800","? 35,700","? 24,900",231%,202,561%
114087,STHYD-3,CAMP_SAN_01,P06,Home Care,415,25% OFF,28,20,"? 11,620","? 6,225","-? 5,395",-46%,-8,-29%
99482c,STBLR-8,CAMP_SAN_01,P08,Home Care,1190,BOGOF,42,161,"? 49,980","? 1,91,590","? 1,41,610",283%,280,667%
5ab1d5,STCHE-6,CAMP_DIW_01,P06,Home Care,415,25% OFF,98,76,"? 40,670","? 23,655","-? 17,015",-42%,-22,-22%
97ad03,STCBE-1,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,379,462,"? 3,25,940","? 2,66,204","-? 59,736",-18%,83,22%
b666fa,STTRV-1,CAMP_DIW_01,P05,Home Care,55,25% OFF,57,55,"? 3,135","? 2,269",-? 866,-28%,-2,-4%
da3c49,STMLR-2,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,270,313,"? 2,32,200","? 1,80,351","-? 51,849",-22%,43,16%
3459ec,STCHE-3,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,468,636,"? 4,02,480","? 3,66,463","-? 36,017",-9%,168,36%
7f81c2,STCHE-2,CAMP_DIW_01,P05,Home Care,55,25% OFF,91,88,"? 5,005","? 3,630","-? 1,375",-27%,-3,-3%
b17786,STMLR-0,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,63,163,"? 22,050","? 57,050","? 35,000",159%,263,417%
2cbc21,STHYD-1,CAMP_SAN_01,P09,Personal Care,90,25% OFF,58,47,"? 5,220","? 3,173","-? 2,048",-39%,-11,-19%
eacf93,STTRV-1,CAMP_SAN_01,P11,Personal Care,190,50% OFF,24,34,"? 4,560","? 3,230","-? 1,330",-29%,10,42%
0f184e,STVSK-0,CAMP_DIW_01,P05,Home Care,55,25% OFF,89,80,"? 4,895","? 3,300","-? 1,595",-33%,-9,-10%
52ec61,STBLR-8,CAMP_DIW_01,P10,Personal Care,65,50% OFF,133,172,"? 8,645","? 5,590","-? 3,055",-35%,39,29%
541bef,STHYD-4,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,234,322,"? 40,248","? 37,107","-? 3,141",-8%,88,38%
86a92b,STMLR-2,CAMP_DIW_01,P11,Personal Care,190,50% OFF,42,45,"? 7,980","? 4,275","-? 3,705",-46%,3,7%
861116,STBLR-7,CAMP_DIW_01,P06,Home Care,415,25% OFF,96,84,"? 39,840","? 26,145","-? 13,695",-34%,-12,-13%
c6d7c5,STMYS-3,CAMP_DIW_01,P12,Personal Care,62,50% OFF,124,145,"? 7,688","? 4,495","-? 3,193",-42%,21,17%
b58c2d,STMYS-0,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,499,703,"? 4,29,140","? 4,05,069","-? 24,071",-6%,204,41%
d59c23,STCBE-3,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,252,224,"? 39,312","? 26,208","-? 13,104",-33%,-28,-11%
68a7bc,STBLR-5,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,322,276,"? 93,380","? 60,030","-? 33,350",-36%,-46,-14%
f98db5,STBLR-2,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,129,279,"? 3,87,000","? 6,97,500","? 3,10,500",80%,150,116%
ffaba4,STBLR-8,CAMP_SAN_01,P09,Personal Care,90,25% OFF,46,33,"? 4,140","? 2,228","-? 1,913",-46%,-13,-28%
f725c0,STCBE-3,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,228,898,"? 45,600","? 1,79,600","? 1,34,000",294%,1568,688%
f8e037,STHYD-2,CAMP_DIW_01,P08,Home Care,1190,BOGOF,52,175,"? 61,880","? 2,08,250","? 1,46,370",237%,298,573%
b526b4,STCHE-7,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,525,756,"? 4,51,500","? 4,35,607","-? 15,893",-4%,231,44%
0491f4,STVSK-2,CAMP_DIW_01,P11,Personal Care,190,50% OFF,38,58,"? 7,220","? 5,510","-? 1,710",-24%,20,53%
879d99,STHYD-5,CAMP_DIW_01,P09,Personal Care,110,50% OFF,92,124,"? 10,120","? 6,820","-? 3,300",-33%,32,35%
ec3591,STCHE-1,CAMP_SAN_01,P09,Personal Care,90,25% OFF,79,63,"? 7,110","? 4,253","-? 2,858",-40%,-16,-20%
2db607,STCBE-1,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,40,136,"? 40,800","? 1,38,720","? 97,920",240%,232,580%
b78191,STBLR-3,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,91,361,"? 92,820","? 3,68,220","? 2,75,400",297%,631,693%
7b1d41,STMYS-2,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,43,125,"? 43,860","? 1,27,500","? 83,640",191%,207,481%
a6e691,STCHE-0,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,294,1134,"? 58,800","? 2,26,800","? 1,68,000",286%,1974,671%
f21ef6,STMLR-1,CAMP_SAN_01,P06,Home Care,415,25% OFF,18,14,"? 7,470","? 4,358","-? 3,113",-42%,-4,-22%
b999c5,STMYS-2,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,406,1015,"? 81,200","? 2,03,000","? 1,21,800",150%,1624,400%
f6aa36,STVSK-3,CAMP_DIW_01,P06,Home Care,415,25% OFF,63,54,"? 26,145","? 16,808","-? 9,338",-36%,-9,-14%
d78c78,STCHE-0,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,52,182,"? 53,040","? 1,85,640","? 1,32,600",250%,312,600%
12573c,STHYD-3,CAMP_SAN_01,P12,Personal Care,62,50% OFF,64,100,"? 3,968","? 3,100",-? 868,-22%,36,56%
38ebfb,STCBE-1,CAMP_SAN_01,P10,Personal Care,50,25% OFF,27,20,"? 1,350",? 750,-? 600,-44%,-7,-26%
5d23c1,STVSK-4,CAMP_SAN_01,P12,Personal Care,62,50% OFF,40,58,"? 2,480","? 1,798",-? 682,-28%,18,45%
449732,STBLR-9,CAMP_DIW_01,P05,Home Care,55,25% OFF,101,97,"? 5,555","? 4,001","-? 1,554",-28%,-4,-4%
b83644,STBLR-6,CAMP_DIW_01,P11,Personal Care,190,50% OFF,75,117,"? 14,250","? 11,115","-? 3,135",-22%,42,56%
17537,STMDU-2,CAMP_SAN_01,P08,Home Care,1190,BOGOF,33,129,"? 39,270","? 1,53,510","? 1,14,240",291%,225,682%
ab8eb3,STHYD-6,CAMP_DIW_01,P06,Home Care,415,25% OFF,85,74,"? 35,275","? 23,033","-? 12,243",-35%,-11,-13%
99ce6a,STVSK-3,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,250,687,"? 50,000","? 1,37,400","? 87,400",175%,1124,450%
42b041,STBLR-1,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,357,514,"? 61,404","? 59,233","-? 2,171",-4%,157,44%
fd5955,STCBE-0,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,313,541,"? 2,69,180","? 3,11,724","? 42,544",16%,228,73%
9.33E+11,STBLR-3,CAMP_SAN_01,P08,Home Care,1190,BOGOF,40,154,"? 47,600","? 1,83,260","? 1,35,660",285%,268,670%
268b09,STMLR-1,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,49,189,"? 17,150","? 66,150","? 49,000",286%,329,671%
dcaeaa,STBLR-7,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,276,242,"? 80,040","? 52,635","-? 27,405",-34%,-34,-12%
d31787,STMYS-2,CAMP_SAN_01,P10,Personal Care,50,25% OFF,25,20,"? 1,250",? 750,-? 500,-40%,-5,-20%
f34069,STBLR-9,CAMP_SAN_01,P09,Personal Care,90,25% OFF,61,57,"? 5,490","? 3,848","-? 1,643",-30%,-4,-7%
4f40ed,STCHE-5,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,564,721,"? 4,85,040","? 4,15,440","-? 69,600",-14%,157,28%
12bb06,STHYD-1,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,351,319,"? 54,756","? 37,323","-? 17,433",-32%,-32,-9%
5f2c41,STCHE-6,CAMP_DIW_01,P08,Home Care,1190,BOGOF,54,185,"? 64,260","? 2,20,150","? 1,55,890",243%,316,585%
e0de60,STHYD-6,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,327,294,"? 51,012","? 34,398","-? 16,614",-33%,-33,-10%
152ae4,STHYD-1,CAMP_SAN_01,P12,Personal Care,62,50% OFF,51,57,"? 3,162","? 1,767","-? 1,395",-44%,6,12%
8e6ee5,STMLR-0,CAMP_DIW_01,P05,Home Care,55,25% OFF,52,45,"? 2,860","? 1,856","-? 1,004",-35%,-7,-13%
d0fd0e,STBLR-0,CAMP_SAN_01,P11,Personal Care,190,50% OFF,43,62,"? 8,170","? 5,890","-? 2,280",-28%,19,44%
4fa17c,STCHE-4,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,327,503,"? 56,244","? 57,966","? 1,722",3%,176,54%
bcf305,STCHE-5,CAMP_DIW_01,P09,Personal Care,110,50% OFF,75,80,"? 8,250","? 4,400","-? 3,850",-47%,5,7%
66050c,STCHE-6,CAMP_SAN_01,P08,Home Care,1190,BOGOF,60,238,"? 71,400","? 2,83,220","? 2,11,820",297%,416,693%
407f1c,STBLR-2,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,117,469,"? 40,950","? 1,64,150","? 1,23,200",301%,821,702%
e12c11,STCHE-1,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,112,294,"? 1,14,240","? 2,99,880","? 1,85,640",163%,476,425%
46d57b,STBLR-9,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,94,329,"? 32,900","? 1,15,150","? 82,250",250%,564,600%
e80ad8,STCHE-7,CAMP_DIW_01,P10,Personal Care,65,50% OFF,136,179,"? 8,840","? 5,818","-? 3,023",-34%,43,32%
f2bdcc,STBLR-4,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,337,478,"? 57,964","? 55,085","-? 2,879",-5%,141,42%
8d20b8,STBLR-5,CAMP_DIW_01,P09,Personal Care,110,50% OFF,75,95,"? 8,250","? 5,225","-? 3,025",-37%,20,27%
f88523,STTRV-1,CAMP_SAN_01,P05,Home Care,55,25% OFF,10,9,? 550,? 371,-? 179,-33%,-1,-10%
177b80,STMLR-0,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,37,96,"? 37,740","? 97,920","? 60,180",159%,155,419%
317699,STCHE-2,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,310,1246,"? 62,000","? 2,49,200","? 1,87,200",302%,2182,704%
ef6d6d,STBLR-2,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,88,346,"? 89,760","? 3,52,920","? 2,63,160",293%,604,686%
1e51ee,STVSK-3,CAMP_SAN_01,P12,Personal Care,62,50% OFF,43,51,"? 2,666","? 1,581","-? 1,085",-41%,8,19%
c55ec9,STBLR-1,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,136,220,"? 4,08,000","? 5,50,000","? 1,42,000",35%,84,62%
6bbadf,STHYD-1,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,43,127,"? 43,860","? 1,29,540","? 85,680",195%,211,491%
edaef4,STHYD-5,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,416,1630,"? 83,200","? 3,26,000","? 2,42,800",292%,2844,684%
d3f755,STCBE-1,CAMP_SAN_01,P08,Home Care,1190,BOGOF,43,171,"? 51,170","? 2,03,490","? 1,52,320",298%,299,695%
0ba095,STCBE-1,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,274,210,"? 42,744","? 24,570","-? 18,174",-43%,-64,-23%
911349,STHYD-0,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,397,1214,"? 11,91,000","? 30,35,000","? 18,44,000",155%,817,206%
6d65d2,STBLR-8,CAMP_SAN_01,P04,Grocery & Staples,370,BOGOF,480,1867,"? 1,77,600","? 6,90,790","? 5,13,190",289%,3254,678%
4ab3bc,STHYD-2,CAMP_SAN_01,P09,Personal Care,90,25% OFF,66,49,"? 5,940","? 3,308","-? 2,633",-44%,-17,-26%
c22cf6,STCHE-6,CAMP_SAN_01,P12,Personal Care,62,50% OFF,58,81,"? 3,596","? 2,511","-? 1,085",-30%,23,40%
cc2182,STMDU-1,CAMP_DIW_01,P12,Personal Care,62,50% OFF,85,117,"? 5,270","? 3,627","-? 1,643",-31%,32,38%
bdf2b8,STVJD-1,CAMP_DIW_01,P12,Personal Care,62,50% OFF,56,71,"? 3,472","? 2,201","-? 1,271",-37%,15,27%
db8aa8,STTRV-1,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,193,746,"? 38,600","? 1,49,200","? 1,10,600",287%,1299,673%
466d6c,STMYS-1,CAMP_SAN_01,P11,Personal Care,190,50% OFF,31,50,"? 5,890","? 4,750","-? 1,140",-19%,19,61%
6444b7,STCHE-2,CAMP_DIW_01,P06,Home Care,415,25% OFF,85,81,"? 35,275","? 25,211","-? 10,064",-29%,-4,-5%
f1cd45,STVJD-1,CAMP_DIW_01,P11,Personal Care,190,50% OFF,50,64,"? 9,500","? 6,080","-? 3,420",-36%,14,28%
23421e,STBLR-2,CAMP_SAN_01,P12,Personal Care,62,50% OFF,54,77,"? 3,348","? 2,387",-? 961,-29%,23,43%
3c3c49,STCBE-2,CAMP_SAN_01,P08,Home Care,1190,BOGOF,40,168,"? 47,600","? 1,99,920","? 1,52,320",320%,296,740%
680acd,STHYD-3,CAMP_SAN_01,P11,Personal Care,190,50% OFF,46,73,"? 8,740","? 6,935","-? 1,805",-21%,27,59%
fe2fe7,STCHE-4,CAMP_DIW_01,P05,Home Care,55,25% OFF,127,115,"? 6,985","? 4,744","-? 2,241",-32%,-12,-9%
e2abd2,STCHE-3,CAMP_DIW_01,P09,Personal Care,110,50% OFF,73,92,"? 8,030","? 5,060","-? 2,970",-37%,19,26%
7c51b1,STCBE-0,CAMP_DIW_01,P09,Personal Care,110,50% OFF,59,89,"? 6,490","? 4,895","-? 1,595",-25%,30,51%
494f1b,STVSK-2,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,94,374,"? 32,900","? 1,30,900","? 98,000",298%,654,696%
144c17,STCHE-2,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,411,509,"? 3,53,460","? 2,93,286","-? 60,174",-17%,98,24%
28acbc,STBLR-2,CAMP_DIW_01,P10,Personal Care,65,50% OFF,105,132,"? 6,825","? 4,290","-? 2,535",-37%,27,26%
00af86,STCBE-0,CAMP_SAN_01,P06,Home Care,415,25% OFF,15,14,"? 6,225","? 4,358","-? 1,868",-30%,-1,-7%
6321fa,STCHE-3,CAMP_SAN_01,P10,Personal Care,50,25% OFF,31,26,"? 1,550",? 975,-? 575,-37%,-5,-16%
6a7668,STCHE-4,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,112,321,"? 3,36,000","? 8,02,500","? 4,66,500",139%,209,187%
c7fefa,STMDU-1,CAMP_SAN_01,P11,Personal Care,190,50% OFF,28,40,"? 5,320","? 3,800","-? 1,520",-29%,12,43%
c5f80e,STCHE-1,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,43,125,"? 43,860","? 1,27,500","? 83,640",191%,207,481%
86755e,STCHE-4,CAMP_SAN_01,P07,Home Care,300,BOGOF,45,191,"? 13,500","? 57,300","? 43,800",324%,337,749%
3.56E+10,STMDU-3,CAMP_SAN_01,P08,Home Care,1190,BOGOF,36,145,"? 42,840","? 1,72,550","? 1,29,710",303%,254,706%
a26b45,STBLR-3,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,287,413,"? 49,364","? 47,594","-? 1,770",-4%,126,44%
fe7b5d,STHYD-2,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,472,1902,"? 94,400","? 3,80,400","? 2,86,000",303%,3332,706%
8d68bc,STHYD-2,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,357,289,"? 55,692","? 33,813","-? 21,879",-39%,-68,-19%
9bc176,STHYD-3,CAMP_SAN_01,P04,Grocery & Staples,370,BOGOF,416,1085,"? 1,53,920","? 4,01,450","? 2,47,530",161%,1754,422%
17df71,STHYD-0,CAMP_SAN_01,P08,Home Care,1190,BOGOF,46,179,"? 54,740","? 2,13,010","? 1,58,270",289%,312,678%
342d35,STCBE-3,CAMP_DIW_01,P08,Home Care,1190,BOGOF,29,96,"? 34,510","? 1,14,240","? 79,730",231%,163,562%
d8f51c,STMYS-1,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,449,1499,"? 13,47,000","? 37,47,500","? 24,00,500",178%,1050,234%
cd36b2,STCHE-4,CAMP_DIW_01,P10,Personal Care,65,50% OFF,127,168,"? 8,255","? 5,460","-? 2,795",-34%,41,32%
780aaa,STMYS-1,CAMP_SAN_01,P06,Home Care,415,25% OFF,19,14,"? 7,885","? 4,358","-? 3,528",-45%,-5,-26%
decd5e,STMDU-2,CAMP_SAN_01,P10,Personal Care,50,25% OFF,21,17,"? 1,050",? 638,-? 413,-39%,-4,-19%
d88318,STCHE-5,CAMP_DIW_01,P08,Home Care,1190,BOGOF,45,149,"? 53,550","? 1,77,310","? 1,23,760",231%,253,562%
bf2632,STCHE-1,CAMP_SAN_01,P12,Personal Care,62,50% OFF,57,66,"? 3,534","? 2,046","-? 1,488",-42%,9,16%
902903,STVSK-2,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,49,164,"? 17,150","? 57,400","? 40,250",235%,279,569%
8481be,STCHE-1,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,327,287,"? 94,830","? 62,423","-? 32,408",-34%,-40,-12%
333ef0,STHYD-0,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,47,163,"? 47,940","? 1,66,260","? 1,18,320",247%,279,594%
5dd3d3,STVJD-0,CAMP_DIW_01,P09,Personal Care,110,50% OFF,40,54,"? 4,400","? 2,970","-? 1,430",-33%,14,35%
98cc83,STVSK-0,CAMP_DIW_01,P10,Personal Care,65,50% OFF,84,127,"? 5,460","? 4,128","-? 1,333",-24%,43,51%
5a6ad7,STBLR-9,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,45,153,"? 45,900","? 1,56,060","? 1,10,160",240%,261,580%
b0cc1e,STBLR-9,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,610,847,"? 5,24,600","? 4,88,041","-? 36,559",-7%,237,39%
21b73e,STTRV-0,CAMP_DIW_01,P05,Home Care,55,25% OFF,61,59,"? 3,355","? 2,434",-? 921,-27%,-2,-3%
c3c9e3,STVSK-1,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,301,869,"? 9,03,000","? 21,72,500","? 12,69,500",141%,568,189%
b76f57,STBLR-8,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,66,220,"? 23,100","? 77,000","? 53,900",233%,374,567%
95792f,STMDU-2,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,106,243,"? 3,18,000","? 6,07,500","? 2,89,500",91%,137,129%
53b2fd,STHYD-6,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,320,467,"? 55,040","? 53,817","-? 1,223",-2%,147,46%
6a54d2,STCHE-5,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,303,360,"? 52,116","? 41,486","-? 10,630",-20%,57,19%
cb7ddd,STVJD-1,CAMP_DIW_01,P09,Personal Care,110,50% OFF,49,65,"? 5,390","? 3,575","-? 1,815",-34%,16,33%
f57184,STHYD-5,CAMP_SAN_01,P05,Home Care,55,25% OFF,21,18,"? 1,155",? 743,-? 413,-36%,-3,-14%
4f76ac,STMYS-3,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,383,344,"? 1,11,070","? 74,820","-? 36,250",-33%,-39,-10%
3b086a,STBLR-4,CAMP_SAN_01,P06,Home Care,415,25% OFF,36,29,"? 14,940","? 9,026","-? 5,914",-40%,-7,-19%
0cc836,STVSK-0,CAMP_SAN_01,P05,Home Care,55,25% OFF,18,14,? 990,? 578,-? 413,-42%,-4,-22%
aacd2a,STMYS-3,CAMP_SAN_01,P10,Personal Care,50,25% OFF,25,21,"? 1,250",? 788,-? 463,-37%,-4,-16%
3968a6,STMYS-3,CAMP_SAN_01,P05,Home Care,55,25% OFF,19,16,"? 1,045",? 660,-? 385,-37%,-3,-16%
fc2170,STCBE-3,CAMP_SAN_01,P08,Home Care,1190,BOGOF,40,158,"? 47,600","? 1,88,020","? 1,40,420",295%,276,690%
368ca0,STBLR-4,CAMP_SAN_01,P04,Grocery & Staples,370,BOGOF,432,1736,"? 1,59,840","? 6,42,320","? 4,82,480",302%,3040,704%
729701,STVSK-2,CAMP_SAN_01,P06,Home Care,415,25% OFF,22,18,"? 9,130","? 5,603","-? 3,528",-39%,-4,-18%
6d863b,STCBE-1,CAMP_SAN_01,P07,Home Care,300,BOGOF,40,155,"? 12,000","? 46,500","? 34,500",288%,270,675%
1d651c,STCHE-5,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,121,273,"? 3,63,000","? 6,82,500","? 3,19,500",88%,152,126%
a7aa70,STMDU-2,CAMP_SAN_01,P11,Personal Care,190,50% OFF,25,28,"? 4,750","? 2,660","-? 2,090",-44%,3,12%
06c981,STHYD-2,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,42,139,"? 42,840","? 1,41,780","? 98,940",231%,236,562%
626cb9,STMLR-0,CAMP_DIW_01,P09,Personal Care,110,50% OFF,36,48,"? 3,960","? 2,640","-? 1,320",-33%,12,33%
6c1493,STVJD-1,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,66,144,"? 1,98,000","? 3,60,000","? 1,62,000",82%,78,118%
c22ead,STBLR-6,CAMP_SAN_01,P11,Personal Care,190,50% OFF,43,66,"? 8,170","? 6,270","-? 1,900",-23%,23,53%
a35a4f,STCHE-6,CAMP_DIW_01,P10,Personal Care,65,50% OFF,122,153,"? 7,930","? 4,973","-? 2,958",-37%,31,25%
4f7c26,STCBE-4,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,316,818,"? 9,48,000","? 20,45,000","? 10,97,000",116%,502,159%
c4dae9,STHYD-0,CAMP_DIW_01,P08,Home Care,1190,BOGOF,52,180,"? 61,880","? 2,14,200","? 1,52,320",246%,308,592%
f199be,STBLR-6,CAMP_DIW_01,P06,Home Care,415,25% OFF,87,78,"? 36,105","? 24,278","-? 11,828",-33%,-9,-10%
c1debe,STCHE-3,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,381,1303,"? 11,43,000","? 32,57,500","? 21,14,500",185%,922,242%
d61f6f,STHYD-3,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,331,903,"? 66,200","? 1,80,600","? 1,14,400",173%,1475,446%
459bc3,STBLR-8,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,97,378,"? 33,950","? 1,32,300","? 98,350",290%,659,679%
ed90b8,STVSK-4,CAMP_SAN_01,P05,Home Care,55,25% OFF,18,13,? 990,? 536,-? 454,-46%,-5,-28%
8fecef,STCHE-1,CAMP_DIW_01,P07,Home Care,300,BOGOF,75,217,"? 22,500","? 65,100","? 42,600",189%,359,479%
dc2bb1,STMYS-3,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,400,476,"? 3,44,000","? 2,74,271","-? 69,729",-20%,76,19%
13a676,STCBE-4,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,203,296,"? 34,916","? 34,111",-? 805,-2%,93,46%
42fb76,STHYD-5,CAMP_DIW_01,P10,Personal Care,65,50% OFF,112,151,"? 7,280","? 4,908","-? 2,373",-33%,39,35%
f741af,STHYD-2,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,333,456,"? 57,276","? 52,549","-? 4,727",-8%,123,37%
5c6465,STHYD-5,CAMP_SAN_01,P08,Home Care,1190,BOGOF,36,139,"? 42,840","? 1,65,410","? 1,22,570",286%,242,672%
2ba228,STCHE-5,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,316,388,"? 2,71,760","? 2,23,566","-? 48,194",-18%,72,23%
21ac82,STHYD-2,CAMP_SAN_01,P06,Home Care,415,25% OFF,46,34,"? 19,090","? 10,583","-? 8,508",-45%,-12,-26%
8e97d1,STBLR-7,CAMP_SAN_01,P09,Personal Care,90,25% OFF,72,58,"? 6,480","? 3,915","-? 2,565",-40%,-14,-19%
335090,STMYS-0,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,262,673,"? 7,86,000","? 16,82,500","? 8,96,500",114%,411,157%
fc8d10,STMLR-0,CAMP_SAN_01,P08,Home Care,1190,BOGOF,27,70,"? 32,130","? 83,300","? 51,170",159%,113,419%
9a425b,STCBE-0,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,276,267,"? 43,056","? 31,239","-? 11,817",-27%,-9,-3%
4f570c,STBLR-7,CAMP_DIW_01,P05,Home Care,55,25% OFF,122,107,"? 6,710","? 4,414","-? 2,296",-34%,-15,-12%
d1138a,STTRV-1,CAMP_DIW_01,P12,Personal Care,62,50% OFF,63,84,"? 3,906","? 2,604","-? 1,302",-33%,21,33%
